Year,Month_AR,Month_EN,Building Type_EN,Building Type_AR,  Number of building permits issued by type of building  
2016,يوليو,July,Industrial Buildings,مباني صناعية,2
2016,اغسطس,August,Industrial Buildings,مباني صناعية,10
2016,سبتمبر,September,Industrial Buildings,مباني صناعية,5
2016,اكتوبر,October,Industrial Buildings,مباني صناعية,4
2016,نوفمبر,November,Industrial Buildings,مباني صناعية,9
2016,ديسيمبر,December,Industrial Buildings,مباني صناعية,14
2016,يناير,January,Government Buildings,مباني حكومية,2
2016,فبراير ,February,Government Buildings,مباني حكومية,2
2016,مارس,March,Government Buildings,مباني حكومية,0
2016,ابريل,April,Government Buildings,مباني حكومية,1
2016,مايو ,May,Government Buildings,مباني حكومية,1
2016,يونيو,June,Government Buildings,مباني حكومية,2
2016,يوليو,July,Government Buildings,مباني حكومية,3
2016,اغسطس,August,Government Buildings,مباني حكومية,2
2016,سبتمبر,September,Government Buildings,مباني حكومية,1
2016,اكتوبر,October,Government Buildings,مباني حكومية,1
2016,نوفمبر,November,Government Buildings,مباني حكومية,0
2016,ديسيمبر,December,Government Buildings,مباني حكومية,1
2016,يناير,January,Others,أخرى,47
2016,فبراير ,February,Others,أخرى,54
2016,مارس,March,Others,أخرى,45
2016,ابريل,April,Others,أخرى,53
2016,مايو ,May,Others,أخرى,58
2016,يونيو,June,Others,أخرى,29
2016,يوليو,July,Others,أخرى,37
2016,اغسطس,August,Others,أخرى,62
2016,سبتمبر,September,Others,أخرى,43
2016,اكتوبر,October,Others,أخرى,58
2016,نوفمبر,November,Others,أخرى,48
2016,ديسيمبر,December,Others,أخرى,52
2017,يناير,January,Residential Villas,فيلا سكنية,152
2017,فبراير ,February,Residential Villas,فيلا سكنية,124
2017,مارس,March,Residential Villas,فيلا سكنية,128
2017,ابريل,April,Residential Villas,فيلا سكنية,140
2017,مايو ,May,Residential Villas,فيلا سكنية,160
2017,يونيو,June,Residential Villas,فيلا سكنية,73
2017,يوليو,July,Residential Villas,فيلا سكنية,114
2017,اغسطس,August,Residential Villas,فيلا سكنية,167
2017,سبتمبر,September,Residential Villas,فيلا سكنية,80
2017,اكتوبر,October,Residential Villas,فيلا سكنية,109
2017,نوفمبر,November,Residential Villas,فيلا سكنية,104
2017,ديسيمبر,December,Residential Villas,فيلا سكنية,107
2017,يناير,January,Residential and Commercial Buildings,مباني سكنية وتجارية,55
2017,فبراير ,February,Residential and Commercial Buildings,مباني سكنية وتجارية,49
2017,مارس,March,Residential and Commercial Buildings,مباني سكنية وتجارية,65
2017,ابريل,April,Residential and Commercial Buildings,مباني سكنية وتجارية,61
2017,مايو ,May,Residential and Commercial Buildings,مباني سكنية وتجارية,86
2017,يونيو,June,Residential and Commercial Buildings,مباني سكنية وتجارية,74
2017,يوليو,July,Residential and Commercial Buildings,مباني سكنية وتجارية,91
2017,اغسطس,August,Residential and Commercial Buildings,مباني سكنية وتجارية,142
2017,سبتمبر,September,Residential and Commercial Buildings,مباني سكنية وتجارية,58
2017,اكتوبر,October,Residential and Commercial Buildings,مباني سكنية وتجارية,49
2017,نوفمبر,November,Residential and Commercial Buildings,مباني سكنية وتجارية,49
2017,ديسيمبر,December,Residential and Commercial Buildings,مباني سكنية وتجارية,43
