Year,Crop_En,Indecator_En,Value
2013,Maize,Area (Dunum),204.600
2013,Maize,Quantity of Production (Ton),772.200
2013,Maize,Value of Production (000 AED),2504.000
2013,Others,Area (Dunum),2384.600
2013,Others,Quantity of Production (Ton),8192.500
2013,Others,Value of Production (000 AED),12495.000
2014,Alfalfa,Area (Dunum),23084.350
2014,Alfalfa,Quantity of Production (Ton),139885.505
2014,Alfalfa,Value of Production (000 AED),236453.607
2014,Rhodegrass,Area (Dunum),55496.408
2014,Rhodegrass,Quantity of Production (Ton),317366.084
2014,Rhodegrass,Value of Production (000 AED),502671.127
2014,Millet,Area (Dunum),6562.377
2014,Millet,Quantity of Production (Ton),52499.019
2014,Millet,Value of Production (000 AED),83998.431
2014,Maize,Area (Dunum),1811.790
2014,Maize,Quantity of Production (Ton),2580.300
2014,Maize,Value of Production (000 AED),6716.900
2014,Others,Area (Dunum),7097.949
2014,Others,Quantity of Production (Ton),26596.371
2014,Others,Value of Production (000 AED),63418.803
2015,Alfalfa,Area (Dunum),19239.848
2015,Alfalfa,Quantity of Production (Ton),111004.476
2015,Alfalfa,Value of Production (000 AED),179866.562
2015,Rhodegrass,Area (Dunum),50633.473
2015,Rhodegrass,Quantity of Production (Ton),273069.734
2015,Rhodegrass,Value of Production (000 AED),402740.101
2015,Millet,Area (Dunum),6154.105
2015,Millet,Quantity of Production (Ton),49232.843
2015,Millet,Value of Production (000 AED),78772.549
2015,Maize,Area (Dunum),1047.489
2015,Maize,Quantity of Production (Ton),3695.494
2015,Maize,Value of Production (000 AED),12707.894
2015,Others,Area (Dunum),3141.687
2015,Others,Quantity of Production (Ton),10105.889
2015,Others,Value of Production (000 AED),15567.051
2016,Alfalfa,Area (Dunum),21679.490
2016,Rhodegrass,Area (Dunum),54082.968
2016,Millet,Area (Dunum),5870.600
2016,Maize,Area (Dunum),1793.006
2016,Others,Area (Dunum),9013.145
2016,Alfalfa,Quantity of Production (Ton),124289.899
2016,Rhodegrass,Quantity of Production (Ton),299173.681
2016,Millet,Quantity of Production (Ton),46965.080
2016,Maize,Quantity of Production (Ton),5987.693
2016,Others,Quantity of Production (Ton),30260.765
2016,Alfalfa,Value of Production (000 AED),211717.838
2016,Rhodegrass,Value of Production (000 AED),475840.521
2016,Millet,Value of Production (000 AED),75144.100
2016,Maize,Value of Production (000 AED),14381.549
2016,Others,Value of Production (000 AED),68684.020
2017,Alfalfa,Area (Dunum),23901.761
2017,Rhodegrass,Area (Dunum),62495.630
2017,Millet,Area (Dunum),9552.451
2017,Maize,Area (Dunum),5565.590
2017,Others,Area (Dunum),10439.854
2017,Alfalfa,Quantity of Production (Ton),142909.608
2017,Rhodegrass,Quantity of Production (Ton),373795.704
2017,Millet,Quantity of Production (Ton),76419.606
2017,Maize,Quantity of Production (Ton),17142.747
2017,Others,Quantity of Production (Ton),35014.455
2017,Alfalfa,Value of Production (000 AED),242020.172
2017,Rhodegrass,Value of Production (000 AED),588838.283
2017,Millet,Value of Production (000 AED),122271.369
2017,Maize,Value of Production (000 AED),36860.547
2017,Others,Value of Production (000 AED),76128.455
2018,Alfalfa,Area (Dunum),12997.114
2018,Rhodegrass,Area (Dunum),48786.043
2018,Millet,Area (Dunum),8129.725
2018,Maize,Area (Dunum),3917.634
2018,Others,Area (Dunum),3760.000
2018,Alfalfa,Quantity of Production (Ton),82654.138
2018,Rhodegrass,Quantity of Production (Ton),293675.434
2018,Millet,Quantity of Production (Ton),65037.797
2018,Maize,Quantity of Production (Ton),8169.545
2018,Others,Quantity of Production (Ton),18366.583
2018,Alfalfa,Value of Production (000 AED),132826.820
2018,Rhodegrass,Value of Production (000 AED),413159.651
2018,Millet,Value of Production (000 AED),104060.476
2018,Maize,Value of Production (000 AED),15614.345
2018,Others,Value of Production (000 AED),32202.758
