Year,Month_AR,Month_EN,Category_EN,Category_AR,Number of Issued Reports from BML
2022,سبتمبر,September,Number of Issued Reports from BML,تقارير مختبر فحص مواد البناء  ," 5,531 "
2022,اكتوبر,October,Number of Issued Reports from BML,تقارير مختبر فحص مواد البناء  ," 5,752 "
2022,نوفمبر,November,Number of Issued Reports from BML,تقارير مختبر فحص مواد البناء  ," 6,241 "
2022,ديسيمبر,December,Number of Issued Reports from BML,تقارير مختبر فحص مواد البناء  ," 5,372 "
2023,يناير,January,Number of Issued Reports from BML,تقارير مختبر فحص مواد البناء  ," 5,332 "
2023,فبراير ,February,Number of Issued Reports from BML,تقارير مختبر فحص مواد البناء  ," 4,797 "
2023,مارس,March,Number of Issued Reports from BML,تقارير مختبر فحص مواد البناء  ," 5,694 "
2023,ابريل,April,Number of Issued Reports from BML,تقارير مختبر فحص مواد البناء  ," 4,174 "
2023,مايو ,May,Number of Issued Reports from BML,تقارير مختبر فحص مواد البناء  ," 5,321 "
2023,يونيو,June,Number of Issued Reports from BML,تقارير مختبر فحص مواد البناء  ," 4,946 "
2023,يوليو,July,Number of Issued Reports from BML,تقارير مختبر فحص مواد البناء  ," 5,640 "
2023,اغسطس,August,Number of Issued Reports from BML,تقارير مختبر فحص مواد البناء  ," 5,875 "
2023,سبتمبر,September,Number of Issued Reports from BML,تقارير مختبر فحص مواد البناء  ," 5,441 "
2023,اكتوبر,October,Number of Issued Reports from BML,تقارير مختبر فحص مواد البناء  ," 6,436 "
2023,نوفمبر,November,Number of Issued Reports from BML,تقارير مختبر فحص مواد البناء  ," 7,167 "
2023,ديسيمبر,December,Number of Issued Reports from BML,تقارير مختبر فحص مواد البناء  ," 6,466 "
2024,يناير,January,Number of Issued Reports from BML,تقارير مختبر فحص مواد البناء  ," 7,029 "
2024,فبراير ,February,Number of Issued Reports from BML,تقارير مختبر فحص مواد البناء  ," 6,376 "
2024,مارس,March,Number of Issued Reports from BML,تقارير مختبر فحص مواد البناء  ," 6,146 "
2024,ابريل,April,Number of Issued Reports from BML,تقارير مختبر فحص مواد البناء  ," 5,604 "
2024,مايو ,May,Number of Issued Reports from BML,تقارير مختبر فحص مواد البناء  ," 7,600 "
2024,يونيو,June,Number of Issued Reports from BML,تقارير مختبر فحص مواد البناء  ," 6,143 "
